微博id,微博正文,发布时间,点赞数,转发数,评论数,热度值,关键短语
Hfqud4j2B,#让红包飞#新春锦鲤迎新年，嗨翻除夕夜！截至除夕，3.1亿人次在微博抢锦鲤红包；1614万网友在微博许下#新年心愿#；新春扭蛋机送出4677万个祝福，愿你新年心想事成～转发+关注，保你新年好运连连！再抽奖送上一台iPhoneXS，七天后开奖，好运哦～@微博抽奖平台  原图 ,2019-02-06,23555,47007,22626,30.831989744682822,天后开奖#SPLIT#好运连连#SPLIT#心想事成转发#SPLIT#愿心想事成#SPLIT#扭蛋
LgFcVhNlj,#女子考研失利跳河民警翻护栏急救# 【女子考研失利跳河轻生，民警分3路搜寻翻护栏急救】2月21日，浙江丽水。一女子因考研失利，在亲友群留下轻生言论后欲跳河。接警后，民警边与其父母联系，边分三路进行搜寻，二十几分钟后发现其踪影，正欲悄悄靠近时女子跳入河中，河水几乎将其淹没，危急时刻，民警立马翻越护栏进入河中，迅速将其救出。女子被拉上来时全身湿透，浑身发抖，民警立即给她披上外套，同时把她搀扶到岸边，随后，对女子情绪进行安抚并将其送回家，因为处置及时，女子人身安全暂无大碍。@西部决策 http://t.cn/A66v6QbH ,2022-02-22,503631,7273,26743,30.747960328510658,失利跳河#SPLIT#翻护栏#SPLIT#考研失利#SPLIT#护栏急救#SPLIT#人身安全暂无
KClQWwYPN,【#紫禁城国潮音乐专辑全阵容曝光#】10月16日，新华社#声在中国#将联合北京广播电视台、故宫博物院共同推出大型纪录片《紫禁城》主题歌音乐专辑。九州乐动，尽展东方魂韵之美；跨越时空，唱响吾辈壮志激怀。“声在中国”与你共同期待！#紫禁城国潮音乐季#  新华社的微博视频  ,2021-10-12,183443,922644,8686,33.3992065869013,音乐专辑#SPLIT#国潮#SPLIT#紫禁城国#SPLIT#东方魂韵#SPLIT#主题歌音乐
I4EsvkxLI,#吴亦凡鹿依luna聊天录音#  #吴亦凡鹿依luna聊天视频# 曝光后，一段疑似两人私下聊天的音频也被曝光，男方称：“看到我的车看到我的人你就上车不就行了？” 女方娇喊：“我的天哪，我要哭出来了怎么办?” 娱乐日爆社的微博视频  ,2019-08-30,725895,6806,42015,31.541996455530168,鹿聊天#SPLIT#吴亦凡鹿#SPLIT#上车就行了#SPLIT#喊天哪#SPLIT#女方娇
I4zCPqV2z,#吴亦凡恋情# 曝光？30日，有媒体晒出早前拍到吴亦凡开车与美女一同回家的视频。当天，吴亦凡的助理先将美女送到车上后就在座驾旁等待，随后吴亦凡戴着渔夫帽口罩遮挡严实地现身，坐在了美女所在的车后座。一行人一同回到吴亦凡住所，在车库吴亦凡与该美女也是一路十指紧扣，在家中共度一段时间后，吴亦凡才匆匆离开继续工作行程。 [组图共4张] 原图 ,2019-08-30,1158108,16965,75142,33.56083851631874,严实现身#SPLIT#共度一段时间#SPLIT#前拍到#SPLIT#十指紧扣#SPLIT#口罩遮挡
I4bDHznBp,#NINE PERCENT告别演唱会定档# 由@蔡徐坤 @陈立农 @范丞丞Adam0616 黄明昊@jjjustin0219 @林彦俊 @THEO-朱正廷 @王子异 @小鬼-王琳凯 @尤长靖 组成的9人团NINEPERCENT将于10月6日正式解散，10月12日最后一次合体在广州举行告别演唱会“限定的记忆”。你们会去看吗？NINEPERCENT告别演唱会定档  [组图共9张] 原图 ,2019-08-27,404132,11315,14453,30.15681229552937,告别演唱会#SPLIT#小鬼王琳#SPLIT#王琳凯#SPLIT#演唱会限定#SPLIT#限定记忆
I3GT6mvGE,#爱豆放大镜# @许凯soso 张嘴就开启胡诌模式：“导演说我必须得胖个二三十斤”，否认自己是“bking”：“我金表都卖了！”求生欲下线笑怼粉丝“渣女”，试图证明唱歌实力却被自己笑呛到，谁看完不说#许凯好好笑一男的# ！关注@新浪娱乐 带双话题转发微博，热转前二将分别获得签名拍立得/签名照。  http://t.cn/AiQFKi5Q ,2019-08-24,12928,1097846,2286,30.244969902741452,否认金表#SPLIT#开启胡诌#SPLIT#张嘴开启#SPLIT#怼粉丝#SPLIT#拍立得签名
I3hUH9flE,#具惠善回击安宰贤# 21日晚，#安宰贤回应# 离婚相关争议，随后具惠善也发文回击，称是自己因养的小狗去世先得的抑郁症，安宰贤看病的医院还是她介绍的，房子的装修费是自己出的，100%的家务活也是她干的，所以才收劳务费，而不是离婚协议金。至于之前所说的“安宰贤醉酒后与多名女子密切频繁联络”，是她本人亲眼所见，亲耳听到的。而当自己问安宰贤：“我做错了什么？”他就是那个回答，“觉得我不够性感”。具惠善全文如下：大家好，我是具惠善。看到安宰贤留下的文字，我也这样上传了文字。我想说明一下关于收到协议金的内容。协议金额中所谓的捐款，指的是代替婚礼捐赠的所有金额，因为全部以具惠善的费用进行，所以要求返还一半的金额。现在安宰贤所住的房子的所有装修费用都是具惠善自己掏的，100%的家务活也是具惠善干的，所以我才收每天3万韩元三年的劳动费…并不是要收离婚协议金。养的小狗先去了天堂，我先患上了忧郁症，给丈夫介绍了我曾去的精神科。渐渐地精神好多了，丈夫喜欢喝酒，我亲眼看到亲耳听见他喝醉了酒和女性们通电话。 虽然有人劝我克制自己，但这只是频繁争吵的原因，他们之间的紧密对话已经成为了我无法了解的领域。丈夫生日那天说想吃拌牛肉，凌晨就准备好了，然后吃了一两勺就都剩下了，看着出去和外面的人一起开生日派对的丈夫，感觉那个人，真是心也远去了啊。但我还是非常感谢生了这位儿子的婆婆，我想现在婆婆家还没有空调所以我给婆婆家装了，也给购置了洗衣机和冰箱。当然那天也吵架了。分居时居住的商住两用房原本不是用于分居，是为了尊重他说的“我想集中在演戏上面”，所以得到了我的允许之后拥有的空间，所以我有权去那里。除此之外，提到的向他要房子的事情，从他没有和我分居的时候开始，他已经没有过待在家的时间了，既然是我一个人住的话，还不如我向他要了。然后我就知道了，如果离婚的话，他就会给我龙仁的房子。从那时候开始，离婚的歌曲就已经响起。当我问起他：“我做错了什么？”他就是那个回答，觉得我不够性感，觉得我有一对不性感的胸部，所以一定想要离婚的丈夫。和丈夫一起生活的时候，他会大声地播放内容有关倦怠期到来的男性的油管广播然后睡着......我是住在家里的幽灵，你曾经那么爱过的那个女人变成了僵尸。http://t.cn/AiQCtbDK 原图 ,2019-08-21,1360575,64192,49984,34.360576157297764,说想#SPLIT#惠善#SPLIT#具惠#SPLIT#养小狗#SPLIT#上传文字
I3hiWhJ68,"#安宰贤回应# 21日晚，安宰贤在个人社交平台发文回应近期争议，称他与具惠善早在7月30日就协议离婚，他认为婚姻是两人间的私事，因此不打算对外公开，但20日遭指控酒醉状态与多名女性联系，令他忍无可忍，决定出面解释一切。安宰贤表示结婚三年来，虽然过得很幸福，但同时承受着艰辛，“结婚后的一年四个月内，我接受了精神科的治疗，并服用抗忧郁的药物，结婚以来，我尽全力做好丈夫的义务，从没做过任何丢脸的事。”他还透露曾与女方进行了长时间的通话，但两人达成的协议却被扭曲，令他对于婚姻正式失去信心，“我无法理解你，全都是因为我的不足才造成的事，对不起。”安宰贤声明全文：我是安宰贤，因为我的私事引起了争议，非常抱歉。我深爱着具惠善，尊敬她并结婚了。我们两人都是公众人物，真心希望这一切的过程能够安静地结束。所以，面对突如其来的公开，我选择了沉默并接受。但是只公开没有过程和前后的片面部分，歪曲事实，使周围人蒙受损失。 昨夜酒醉中被怀疑和诬陷与众多女性联系，所以不能再沉默了，所以写了这篇文章。因为彼此喜欢而开始的过去3年的婚姻生活虽然很幸福，但是对我来说精神上很吃力。我们虽然努力改善关系，但拉近关系并非易事。最终,我们没能找到协议点，在协议下决定分居，为了让五只动物和她过得舒服，我离开了家。之后经过持续的对话，于7月30日同意与具惠善离婚。 我支付了具惠善算定的离婚协议金。具惠善出示的明细单中包括了对家务的日薪，结婚当时她捐赠的捐款等。我决定完全遵从这些意见。 但这绝不是因为我有婚姻破裂的归责理由，而是我想从经济上为爱过的妻子做一点贡献。但几天后，具惠善以第一次协商的金额不足为由，要求一起生活的公寓所有权。之后我也向所属公司告知了离婚的事实，8月8日有代表会议，有着对离婚的挽留和时机进行劝解的时间。 但我对离婚地想法没有改变，8月9日晚，她在分居中我一个人住的写字楼里对门卫大叔谎称丢了钥匙，然后拿了一把备用钥匙进来。并且一边对我说“不是无端侵入，而是老婆”，一边翻着手机开始录音。对于当时正在睡觉的我，这种行为太突然，太可怕了。在看我的手机短信的时候，代表问了与两个人见面后说法不一样的部分（我说没有要求过房子，没有这个权利，也没有要求的理由）是对此的回复的信息。 我没有骂过具惠善。那天晚上，我觉得再维持婚姻生活对双方都是一种伤害，我再次坚定了离婚的念头。几天之后，她就通知她要离婚。说是选了律师，还寄来了协议书和媒体报道，而且计划于28日向法院申请，让我选律师。在追加要求的情况下，我必须申请到贷款，房子也要卖掉，我只能把所有的事情告诉公司。这并不是为了公司介入我们个人的事情，而是作为签约的所属演员，为了共享今后发生的情况。我正在接受结婚后第一年零四个月的精神科治疗，并在服用抑郁症用药。开始了结婚生活后，我作为丈夫尽了最大的努力，从未做过羞耻的事情。我看到了（女方）说想守护家庭的文章。因为长对话的末尾把相互协议好的谈话内容都扭曲了，不仅给其他人带来了损失，我看着一直在讲述被歪曲的真相的她，我只觉得我更加没有信心继续去维持婚姻生活了。因为我们个人的事情而受到损失的公司，节目播放当天受到损失的《我家的熊孩子》的相关人士，以及我的电视剧拍摄现场的相关人士们，我对你们表示我深深的歉意，我没有脸面，只怀有想要道歉的想法。还有我对在进行这件事的妻子感到对不起。但是的确是很难理解的事情。都是因为我的不足，没能整理好我的个人事务而发生的事情，我真心地向大家道歉，对不起。http://t.cn/AiQ9NAOA 原图 ",2019-08-21,654004,4184,25362,30.24626716788557,惠善#SPLIT#具惠#SPLIT#没有要求#SPLIT#精神科治疗#SPLIT#维持婚姻生活
I3frwjF9A,#养眼美图# 李栋旭✖️NYLON Korea，微卷湿发、名品腹肌、行走的荷尔蒙，欧巴在线杀阿乐，整个人都不好了啊啊啊啊啊啊啊啊awsl！#李栋旭身材#  [组图共9张] 原图 ,2019-08-21,207400,18442,23078,31.01366246005673,养眼美图#SPLIT#名品腹肌#SPLIT#杀阿乐#SPLIT#李栋旭身材#SPLIT#腹肌行走
I35wz2sKY,#午间话题# 北京今天下起雨了，你的城市呢？@李易峰 、@朱一龙、@杨洋、鹿晗@M鹿M、@William威廉陈伟霆 、@TFBOYS-王俊凯 、@TFBOYS-王源 、@TFBOYS-易烊千玺 、@X玖少年团肖战DAYTOY 、@UNIQ-王一博 、@邓伦、@罗云熙Leo ......大声告诉阿乐，谁是你#最想共伞的男爱豆# ？  [组图共9张] 原图 ,2019-08-20,734921,31849,29636,32.56772077562649,告诉阿乐#SPLIT#威廉陈伟霆#SPLIT#少年团肖战#SPLIT#易烊玺#SPLIT#朱一龙杨洋
I2MlF4bCB,#具惠善回应经纪公司离婚声明# 18日，所属社HB Ent宣布#具惠善安宰贤决定离婚#，称具惠善于8月中旬向法院提出离婚调解申请，希望在9月份结束离婚相关程序，但她突然改变主意，在社交网站上主张安宰贤进入倦怠期要求离婚。对此，具惠善发文回应称公司声明没和她商议过，透露自己看到了安宰贤和社长在背后骂她的聊天记录，会退出所属社，“我感到被背叛了，我想守护家庭。”http://t.cn/AiHkb78l所属社声明全文如下：大家好，这里是HB娱乐。想解释今天（18日）报道中的具惠善、安宰贤的情况。即使获得许多人的鼓励和期待，最近两位演员因为一些问题，难以维持婚姻生活，在认真商议，相互讨论之后，决定离婚。作为两位演员所属的经纪公司，尊重两人在过去几个月里真挚烦恼和讨论后作出的决定。希望两人今后也各自以更加幸福的姿态生活。最近具惠善选定了律师，起草了和安宰贤的离婚协议书草案。寄给安宰贤之后，要求安宰贤也尽快选律师，完成所需手续。具惠善希望在8月之内向裁判所申请离婚调解，9月分完成离婚手续。除了离婚相关协议书之外，具惠善也寄来了她要发给媒体的通稿内容的草案。但今天凌晨看到具惠善SNS上传的文章，以及引用她的文章的相关报道后，安宰贤和我司都处于非常混乱的状况。具惠善完全省略了一直以来双方认真讨论后，达成同意离婚的经过，针对她提出不想离婚的立场，虽然涉及演员私生活，但我司无奈只能告知大家事情的具体经过。 [组图共4张] 原图 ,2019-08-18,1079416,11954,28914,31.743044355047463,具惠#SPLIT#惠善#SPLIT#离婚调解#SPLIT#善安宰贤#SPLIT#离婚相关
I2lcUsqjj,#王一博美合再传绯闻# 近日，有网友爆料称王一博和耀莱千金綦美合恋爱，还列出了疑似二人聊天记录视频、同款太阳花鞋带配饰、疑似美合横店探班王一博等诸多“证据”。去年两人就曾传出过绯闻，但王一博方曾两次发声明否认。就此，新浪娱乐求证王一博工作人员，对方暂未回应。王一博与耀莱千金再传绯闻  [组图共9张] 原图 ,2019-08-15,428872,3132,31376,30.06494997847897,耀千金#SPLIT#再传绯闻#SPLIT#千金綦美#SPLIT#博耀#SPLIT#博美合
I2i4ppkRv,#吴镇宇切换粤语失败# 吴镇宇@鎮宇DD的豬頭俱樂部 与@古天乐@张家辉 一同受访，结果普通话粤语一直切换失败，频频被古仔提醒：讲广东话！阿乐怀疑镇宇哥你是想在渣渣辉面前炫技，并且掌握了证据(视频cr电影记录员董冬冬)  新浪娱乐的微博视频  ,2019-08-15,582742,23782,18938,31.487944941682223,一同受访#SPLIT#切换失败#SPLIT#切换粤语#SPLIT#古仔提醒#SPLIT#古天乐张家辉
I1T7c4HNU,#演员夏萍去世# 据港媒，今日有消息称TVB资深演员夏萍于2019年8月5日离世，享年81岁。丧礼将定于8月19日晚在万国殡仪馆设灵，翌日20日早上出殡。夏萍参演过《岁月神偷》《偷偷爱你》等影片，也曾在周星驰《九品芝麻官》中饰演包龙星的老妈，2005年她曾获得TVB万千光辉演艺大奖(相当于终身成就奖)。  [组图共2张] 原图 ,2019-08-12,109069,18448,18462,30.357924038512774,演员夏萍#SPLIT#丧礼定于#SPLIT#九品芝麻官#SPLIT#光辉演艺#SPLIT#包龙星
I1iOenIFR,#魏大勋否认恋情# 8日，有网友在北京798园区偶遇魏大勋和疑似杨幂的年轻女性看展，两人都戴着帽子和口罩，还穿着同款鞋子，#疑似魏大勋恋情# 曝光。新浪娱乐求证双方工作人员，对方均未回应。刚刚，@魏大勋 发文否认恋情传闻，称：“只是跟朋友逛个街，谢谢大家关心”。魏大勋发文否认网传恋情  [组图共4张] 原图 ,2019-08-08,866876,2731,48855,30.944064121638277,发文否认#SPLIT#否认恋情#SPLIT#偶遇魏大勋#SPLIT#双方工作人员#SPLIT#方均未回应
L89iQij9G,#非正式跨年派对#线上狂欢正式开启！于和伟、刘涛、杨洋、赵文卓低调炫技玩转冬日，杨紫欢乐串烧，时代少年团、黄景瑜清唱新歌，张晋翻唱经典，蔡少芬、毛晓彤手势舞，欧阳娜娜大提琴演奏，还有萧敬腾、林宥嘉、张雨绮、伊能静、张新成、陈学冬、宋雨琦、傅菁、白鹿等带来精彩表演，黄渤、刘诗诗、唐嫣、TFBOYS、肖战、张艺兴、王一博、龚俊还将在线送来新年祝福，你最期待哪个？12月29日18：00，不见不散！ http://t.cn/A6xsP7Rq ,2021-12-28,53676,2583,170440,31.371680518722258,于和伟刘涛#SPLIT#伊能静张新#SPLIT#低调炫技#SPLIT#傅菁白鹿#SPLIT#刘涛杨洋
L6w6KerIG,#李靓蕾发长文回应# 刚刚，@李靚蕾Jinglei 发长文回忆多年婚姻生活，控诉王力宏 。“写这封信是我做过最困难的决定…人生真的很不容易。我想，也只有这样勇敢坦承的面对，一切才能归零，我们才能有各自有重生的机会。也希望我的分享能带给深陷其中的你或是即将要踏入这个旅程的你一些省思。 ”  [组图共12张] 原图 ,2021-12-17,283507,10197,20531,30.402054597358735,发长文#SPLIT#勇敢坦承#SPLIT#回忆婚姻生活#SPLIT#带给深陷#SPLIT#控诉王力宏
L5nl0wwu8,#许玮甯宣布与邱泽结婚# 12月10日， @许玮甯Ann  在社交平台晒出与@邱澤日記 的合照宣布结婚，“曾经说过，如果有好消息会跟大家分享的，谢谢所有人的关心”。 两人曾合作电影《当男人恋爱时》，今年6月曾曝出两人在交往，双方都否认了交往传闻。#邱泽许玮甯结婚#  [组图共3张] 原图 ,2021-12-10,442735,19658,26091,31.640731044377482,许玮甯#SPLIT#宣布邱泽#SPLIT#所有人关心#SPLIT#甯宣布#SPLIT#甯结婚
LiehyDag7,今天，与您相会于中华腾飞世界时！#纪念周恩来诞辰124周年#  原图 ,2022-03-05,632707,151816,23670,33.71732220055182,周恩来诞辰#SPLIT#相会中华#SPLIT#纪念周恩来#SPLIT#腾飞世界时#SPLIT#中华腾飞
K7E7iAC8x,一边造谣抵制新疆棉花，一边又想在中国赚钱？痴心妄想！ @HM中国 #HM碰瓷新疆棉花#  [组图共4张] 原图 ,2021-03-24,429103,37726,16721,31.609579338923965,新疆棉花#SPLIT#造谣抵制#SPLIT#一边造谣#SPLIT#碰瓷新疆#SPLIT#抵制新疆
JAFVFcMEB,#冬奥项目猜猜看# 提示一：2014年索契冬奥会上被正式列为冬奥会运动项目；提示二：运动员用双板在U型池中做一系列技巧动作；提示三：每个运动员可以做不一样的花样动作；你猜到是哪个冬奥项目了吗？ 12月31日晚@李现ing 为你揭晓答案，咱们直播见！#冬奥体育图标发布# 北京2022年冬奥会的微博视频  ,2020-12-29,91277,50744,16932,31.15093039622652,提示运动员#SPLIT#冬奥体育#SPLIT#双板型#SPLIT#晚李现#SPLIT#猜到冬奥
JxWeI9Czh,【爱豆喊你来助力#北京2022# 】北京冬奥会雪上项目介绍集锦（上）（按项目排序）：高山滑雪@杨紫，自由式滑雪@刘昊然turbo，单板滑雪@UNIQ-王一博，跳台滑雪@华晨宇yu，越野滑雪@X玖少年团肖战DAYTOY 北京2022年冬奥会的微博视频  ,2020-12-11,6036866,639192,85604,38.21090804300657,北京冬奥会#SPLIT#介绍集锦#SPLIT#冬奥会雪上#SPLIT#单板滑雪#SPLIT#少年团肖战
Koeammzye,#首发# Happy Happy Camp～快乐快乐感～前方单（shang）循（tou）预警！ 2021#快乐大本营# 全新主题曲/片头曲《快乐感》上线啦！ >> 网页链接 @时代少年团 元气少年开麦，给你超能补给，再来亿遍~  原图 ,2021-07-11,431704,261649,12952,33.16613594439259,快乐感#SPLIT#主题曲片头曲#SPLIT#元气少年#SPLIT#前方循#SPLIT#感上线
