微博id,微博正文,发布时间,点赞数,转发数,评论数,热度值,关键短语
JxWeI9Czh,【爱豆喊你来助力#北京2022# 】北京冬奥会雪上项目介绍集锦（上）（按项目排序）：高山滑雪@杨紫，自由式滑雪@刘昊然turbo，单板滑雪@UNIQ-王一博，跳台滑雪@华晨宇yu，越野滑雪@X玖少年团肖战DAYTOY 北京2022年冬奥会的微博视频  ,12/11/2020,6036866,639192,85604,38.21090804,北京冬奥会#SPLIT#介绍集锦#SPLIT#冬奥会雪上#SPLIT#单板滑雪#SPLIT#少年团肖战
LlzGHrFzw,【#MU5735遇难者头七祭#】愿逝者安息，悲剧不再。#为MU5735遇难同胞默哀#  人民日报的微博视频  ,3/27/2022,1172177,394458,88484,36.95834003,同胞默哀#SPLIT#愿逝者#SPLIT#祭愿#SPLIT#逝者安息#SPLIT#遇难同胞
LlyXdeYnS,【指挥部确认#MU5735航班上人员已全部遇难#】经过6天全力搜救，“3·21”东航MU5735航空器飞行事故国家应急处置指挥部26日晚确认，东方航空公司MU5735航班上人员已全部遇难。#为MU5735遇难同胞默哀#  原图 ,3/26/2022,2961470,6528334,483284,42.77480355,航班人员#SPLIT#东方航空公司航班#SPLIT#东航航空器#SPLIT#全力搜救#SPLIT#同胞默哀
LgjAf6qgB,【终于等到你！#一百万只冰墩墩到货#】冬奥会开幕以来，冰墩墩圈粉无数，加上其他冰雪用品热销，全民冬奥热情不减，这届冬奥“带货”能力实强。数据显示，近半个月超1亿人涌入天猫奥林匹克官方旗舰店准点蹲守冰墩墩，但通常是一秒售罄，网友每天在线求官方补货。而今，#冰墩墩吨吨吨式补货#。2月20日，100万只冰墩墩将在官方旗舰店集中发售，从早上10点至晚上9点，每个整点都可抢。网友：总算赶在冬奥闭幕前实现“一户一墩”了！ http://t.cn/A665ondp [组图共3张] 原图 ,2/20/2022,347349,292317,100278,36.238209,官方旗舰店#SPLIT#冰墩墩#SPLIT#墩墩#SPLIT#冰墩#SPLIT#全民冬奥
Ks39w4mPQ,【再添一金！#全红婵跳水10米台夺金#】今天，东京奥运会跳水女子单人10米台决赛，#东京奥运中国队已9次包揽金银#！@全红婵 夺金，@陈乐乐Diving #陈芋汐女子10米台摘银#！祝贺跳水梦之队！  [组图共2张] 原图 ,8/5/2021,1640519,205930,71780,36.162621,中国队包揽#SPLIT#全红婵跳水#SPLIT#奥运中国队#SPLIT#奥运会跳水#SPLIT#女子米台摘
KrtDsixHN,【快讯：#苏炳添男子百米第6#】东京奥运会#男子百米大战#中，@苏炳添 获第6的成绩！此前，苏炳添9秒83晋级百米决赛，成为首位闯入奥运会男子百米决赛的中国运动员。加油飞人！#苏炳添创造历史#  原图 ,8/1/2021,2668765,229098,85931,36.78244023,奥运会男子#SPLIT#加油飞人#SPLIT#快讯苏炳添#SPLIT#苏炳添创造#SPLIT#苏炳添晋级
KqZPvaXTH,【不容易！#马龙晋级男单决赛#！】东京奥运会男单半决赛，马龙4-3战胜奥恰洛夫，晋级决赛。至此，#马龙樊振东会师男单决赛#。#国乒锁定男女单打金银牌#！祝贺@captain龙 ！祝贺国乒！  [组图共4张] 原图 ,7/29/2021,1594345,157062,69329,35.82533886,男单决赛#SPLIT#会师男单#SPLIT#单打金银牌#SPLIT#国乒锁定#SPLIT#奥运会男单
KqXIZ4FmD,【#孙颖莎4比0战胜伊藤美诚#！恭喜国乒】在刚刚结束的东京奥运会女子单打半决赛中，中国选手@孙颖莎 4比0战胜日本选手伊藤美诚，晋级决赛。网友：#孙颖莎小魔王大心脏#太牛了！#国乒锁定奥运女单金银牌#！  [组图共9张] 原图 ,7/29/2021,6063392,595470,260986,39.81433683,伊藤美诚#SPLIT#孙颖莎#SPLIT#国乒刚刚#SPLIT#国乒锁定#SPLIT#奥运女单
KqMsU5T47,【#唐山大地震45周年祭#】1976年7月28日，一场7.8级的强震，让24.2万同胞遇难。45年了，时间会慢慢抚平伤痛，却抚不去思念与记忆。于逆境中奋起，在艰难中重生，中国人刻下大写的“坚韧”。今天，再一次缅怀逝者，致敬重生。愿山河无恙，人间皆安！  [组图共9张] 原图 ,7/28/2021,151213,9712944,21347,37.00526576,再一缅怀#SPLIT#刻下大写#SPLIT#同胞遇难#SPLIT#唐山大地震#SPLIT#大写坚韧
KqzoCgta7,【许昕刘诗雯获混双银牌 网友：#无论结果你们都是中国骄傲#】#每一块奖牌都来之不易#，恭喜@许昕 、@刘诗雯Sunny ，好好调整，全力以赴，接下来的比赛继续加油！#乒乓球混双决赛#  人民日报的微博视频  ,7/26/2021,1451561,419859,66890,36.70798155,一块奖牌#SPLIT#乒乓球混双#SPLIT#刘诗雯获#SPLIT#奖牌来之不易#SPLIT#恭喜许昕
